,open,high,low,close,volume
2019-01-14,334.0498,334.0999,317.9499,331.8998,162475
2019-01-15,329.9998,338.7999,326.4499,337.6498,287682
2019-01-16,337.4999,344.9999,331.2499,333.3498,422574
2019-01-17,333.9999,338.0999,330.2999,332.2999,188146
2019-01-18,331.4498,332.3499,305.0999,310.9499,821654
2019-01-21,317.6999,317.6999,306.2999,310.4499,405442
2019-01-22,312.6998,312.6998,301.9999,304.2499,302143
2019-01-23,306.9999,307.4999,302.9999,304.0498,193013
2019-01-24,304.2499,307.9499,294.7999,301.5999,391561
2019-01-25,303.9999,311.4998,301.9999,307.0499,334054
2019-01-28,308.8999,308.8999,294.9499,304.8999,208398
2019-01-29,308.9999,309.6999,301.6498,307.0999,153623
2019-01-30,309.8999,312.6499,299.9999,303.3499,190998
2019-01-31,304.9998,310.5499,303.8499,307.1499,275729
2019-02-01,305.9499,320.4499,305.2498,311.2999,515405
2019-02-04,310.9998,311.0499,302.2499,306.5999,193857
2019-02-05,295.4999,310.5999,293.2999,307.8499,893303
2019-02-06,307.9999,309.8999,301.1499,308.2999,291354
2019-02-07,308.2999,313.9999,305.1999,310.9499,211903
2019-02-08,310.8999,314.3999,306.1998,313.5999,172611
2019-02-11,316.8999,316.8999,311.2999,313.0499,129720
2019-02-12,311.9999,315.2999,309.9999,311.4998,101194
2019-02-13,310.9998,312.8499,307.4999,310.6499,110551
2019-02-14,309.9999,309.9999,296.8498,301.0499,277366
2019-02-15,301.8499,305.5999,297.8499,304.3499,192932
2019-02-18,305.1999,308.9999,300.1998,302.4999,110173
2019-02-19,301.1999,313.1999,301.0499,304.2499,294409
2019-02-20,304.9998,310.7999,304.9998,309.5499,177118
2019-02-21,306.9999,310.9998,302.9499,310.1999,205029
2019-02-22,309.6999,316.1999,308.0499,312.9999,173018
2019-02-25,312.9999,319.8998,312.0499,318.0499,167674
2019-02-26,317.9999,320.1999,300.9999,315.3498,202714
2019-02-27,320.9499,324.9999,314.6499,319.9499,228396
